father1	mother1	child1	father2	mother2	child2	count
00	11	01	01	00	00	0
00	11	01	01	00	01	0
00	11	01	01	00	11	0
00	11	01	01	01	00	0
00	11	01	01	01	01	0
00	11	01	01	01	11	0
00	11	01	01	11	00	0
00	11	01	01	11	01	8
00	11	01	01	11	11	0
00	11	01	11	00	00	0
00	11	01	11	00	01	0
00	11	01	11	00	11	0
00	11	01	11	01	00	0
00	11	01	11	01	01	0
00	11	01	11	01	11	0
00	11	01	11	11	00	0
00	11	01	11	11	01	28
00	11	01	11	11	11	0
00	11	11	00	00	00	0
00	11	11	00	00	01	0
00	11	11	00	00	11	0
00	11	11	00	01	00	0
00	11	11	00	01	01	0
00	11	11	00	01	11	0
00	11	11	00	11	00	10
00	11	11	00	11	01	6
00	11	11	00	11	11	10
00	11	11	01	00	00	0
00	11	11	01	00	01	0
00	11	11	01	00	11	0
00	11	11	01	01	00	0
00	11	11	01	01	01	0
00	11	11	01	01	11	0
00	11	11	01	11	00	0
00	11	11	01	11	01	0
00	11	11	01	11	11	8
00	11	11	11	00	00	0
00	11	11	11	00	01	0
00	11	11	11	00	11	0
00	11	11	11	01	00	0
00	11	11	11	01	01	0
00	11	11	11	01	11	1
00	11	11	11	11	00	0
00	11	11	11	11	01	0
00	11	11	11	11	11	21
01	00	00	00	00	00	7
01	00	00	00	00	01	0
01	00	00	00	00	11	0
01	00	00	00	01	00	0
01	00	00	00	01	01	0
01	00	00	00	01	11	0
01	00	00	00	11	00	0
01	00	00	00	11	01	0
01	00	00	00	11	11	0
01	00	00	01	00	00	56006
01	00	00	01	00	01	26
01	00	00	01	00	11	86
01	00	00	01	01	00	39
01	00	00	01	01	01	0
01	00	00	01	01	11	1
01	00	00	01	11	00	151
01	00	00	01	11	01	0
01	00	00	01	11	11	0
01	00	00	11	00	00	14
01	00	00	11	00	01	0
01	00	00	11	00	11	0
01	00	00	11	01	00	0
01	00	00	11	01	01	0
01	00	00	11	01	11	0
01	00	00	11	11	00	0
01	00	00	11	11	01	0
01	00	00	11	11	11	0
01	00	01	00	00	00	0
01	00	01	00	00	01	55
01	00	01	00	00	11	0
01	00	01	00	01	00	0
01	00	01	00	01	01	0
01	00	01	00	01	11	0
01	00	01	00	11	00	0
01	00	01	00	11	01	0
01	00	01	00	11	11	0
01	00	01	01	00	00	17
01	00	01	01	00	01	73649
01	00	01	01	00	11	46
01	00	01	01	01	00	0
01	00	01	01	01	01	25
01	00	01	01	01	11	0
01	00	01	01	11	00	0
01	00	01	01	11	01	45
01	00	01	01	11	11	0
01	00	01	11	00	00	0
01	00	01	11	00	01	48
01	00	01	11	00	11	0
01	00	01	11	01	00	0
01	00	01	11	01	01	0
01	00	01	11	01	11	0
01	00	01	11	11	00	0
01	00	01	11	11	01	0
01	00	01	11	11	11	0
01	00	11	00	00	00	0
01	00	11	00	00	01	0
01	00	11	00	00	11	0
01	00	11	00	01	00	0
01	00	11	00	01	01	0
01	00	11	00	01	11	0
01	00	11	00	11	00	0
01	00	11	00	11	01	0
01	00	11	00	11	11	0
01	00	11	01	00	00	50
01	00	11	01	00	01	39
01	00	11	01	00	11	78
01	00	11	01	01	00	0
01	00	11	01	01	01	0
01	00	11	01	01	11	49
01	00	11	01	11	00	0
01	00	11	01	11	01	0
01	00	11	01	11	11	169
01	00	11	11	00	00	0
01	00	11	11	00	01	0
01	00	11	11	00	11	0
01	00	11	11	01	00	0
01	00	11	11	01	01	0
01	00	11	11	01	11	0
01	00	11	11	11	00	0
01	00	11	11	11	01	0
01	00	11	11	11	11	1
01	01	00	00	00	00	0
01	01	00	00	00	01	0
01	01	00	00	00	11	0
01	01	00	00	01	00	16
01	01	00	00	01	01	0
01	01	00	00	01	11	0
01	01	00	00	11	00	0
01	01	00	00	11	01	0
01	01	00	00	11	11	0
01	01	00	01	00	00	22
01	01	00	01	00	01	0
01	01	00	01	00	11	0
01	01	00	01	01	00	145004
01	01	00	01	01	01	61
01	01	00	01	01	11	205
01	01	00	01	11	00	61
01	01	00	01	11	01	0
01	01	00	01	11	11	0
01	01	00	11	00	00	0
01	01	00	11	00	01	0
01	01	00	11	00	11	0
01	01	00	11	01	00	65
01	01	00	11	01	01	0
01	01	00	11	01	11	0
01	01	00	11	11	00	0
01	01	00	11	11	01	0
01	01	00	11	11	11	0
01	01	01	00	00	00	0
01	01	01	00	00	01	0
01	01	01	00	00	11	0
01	01	01	00	01	00	0
01	01	01	00	01	01	33
01	01	01	00	01	11	0
01	01	01	00	11	00	0
01	01	01	00	11	01	0
01	01	01	00	11	11	0
01	01	01	01	00	00	0
01	01	01	01	00	01	25
01	01	01	01	00	11	0
01	01	01	01	01	00	97
01	01	01	01	01	01	9256
01	01	01	01	01	11	90
01	01	01	01	11	00	0
01	01	01	01	11	01	35
01	01	01	01	11	11	0
01	01	01	11	00	00	0
01	01	01	11	00	01	0
01	01	01	11	00	11	0
01	01	01	11	01	00	0
01	01	01	11	01	01	30
01	01	01	11	01	11	0
01	01	01	11	11	00	0
01	01	01	11	11	01	0
01	01	01	11	11	11	0
01	01	11	00	00	00	0
01	01	11	00	00	01	0
01	01	11	00	00	11	0
01	01	11	00	01	00	1
01	01	11	00	01	01	0
01	01	11	00	01	11	31
01	01	11	00	11	00	0
01	01	11	00	11	01	0
01	01	11	00	11	11	0
01	01	11	01	00	00	0
01	01	11	01	00	01	0
01	01	11	01	00	11	14
01	01	11	01	01	00	137
01	01	11	01	01	01	157
01	01	11	01	01	11	229522
01	01	11	01	11	00	0
01	01	11	01	11	01	1
01	01	11	01	11	11	90
01	01	11	11	00	00	0
01	01	11	11	00	01	0
01	01	11	11	00	11	0
01	01	11	11	01	00	0
01	01	11	11	01	01	0
01	01	11	11	01	11	95
01	01	11	11	11	00	0
01	01	11	11	11	01	0
01	01	11	11	11	11	0
01	11	00	00	00	00	0
01	11	00	00	00	01	0
01	11	00	00	00	11	0
01	11	00	00	01	00	0
01	11	00	00	01	01	0
01	11	00	00	01	11	0
01	11	00	00	11	00	0
01	11	00	00	11	01	0
01	11	00	00	11	11	0
01	11	00	01	00	00	67
01	11	00	01	00	01	0
01	11	00	01	00	11	0
01	11	00	01	01	00	59
01	11	00	01	01	01	0
01	11	00	01	01	11	1
01	11	00	01	11	00	74
01	11	00	01	11	01	2
01	11	00	01	11	11	21
01	11	00	11	00	00	0
01	11	00	11	00	01	0
01	11	00	11	00	11	0
01	11	00	11	01	00	0
01	11	00	11	01	01	0
01	11	00	11	01	11	0
01	11	00	11	11	00	0
01	11	00	11	11	01	0
01	11	00	11	11	11	0
01	11	01	00	00	00	0
01	11	01	00	00	01	0
01	11	01	00	00	11	0
01	11	01	00	01	00	0
01	11	01	00	01	01	0
01	11	01	00	01	11	0
01	11	01	00	11	00	0
01	11	01	00	11	01	12
01	11	01	00	11	11	0
01	11	01	01	00	00	0
01	11	01	01	00	01	15
01	11	01	01	00	11	0
01	11	01	01	01	00	0
01	11	01	01	01	01	21
01	11	01	01	01	11	0
01	11	01	01	11	00	5
01	11	01	01	11	01	4975
01	11	01	01	11	11	4
01	11	01	11	00	00	0
01	11	01	11	00	01	0
01	11	01	11	00	11	0
01	11	01	11	01	00	0
01	11	01	11	01	01	0
01	11	01	11	01	11	0
01	11	01	11	11	00	0
01	11	01	11	11	01	10
01	11	01	11	11	11	0
01	11	11	00	00	00	0
01	11	11	00	00	01	0
01	11	11	00	00	11	0
01	11	11	00	01	00	0
01	11	11	00	01	01	0
01	11	11	00	01	11	0
01	11	11	00	11	00	0
01	11	11	00	11	01	0
01	11	11	00	11	11	0
01	11	11	01	00	00	0
01	11	11	01	00	01	1
01	11	11	01	00	11	130
01	11	11	01	01	00	0
01	11	11	01	01	01	1
01	11	11	01	01	11	95
01	11	11	01	11	00	21
01	11	11	01	11	01	26
01	11	11	01	11	11	29239
01	11	11	11	00	00	0
01	11	11	11	00	01	0
01	11	11	11	00	11	0
01	11	11	11	01	00	0
01	11	11	11	01	01	0
01	11	11	11	01	11	0
01	11	11	11	11	00	0
01	11	11	11	11	01	0
01	11	11	11	11	11	14
11	00	00	00	00	00	45
11	00	00	00	00	01	0
11	00	00	00	00	11	0
11	00	00	00	01	00	0
11	00	00	00	01	01	0
11	00	00	00	01	11	0
11	00	00	00	11	00	0
11	00	00	00	11	01	0
11	00	00	00	11	11	0
11	00	00	01	00	00	13
11	00	00	01	00	01	0
11	00	00	01	00	11	1
11	00	00	01	01	00	0
11	00	00	01	01	01	0
11	00	00	01	01	11	0
11	00	00	01	11	00	1
11	00	00	01	11	01	0
11	00	00	01	11	11	0
11	00	00	11	00	00	48
11	00	00	11	00	01	38
11	00	00	11	00	11	142
11	00	00	11	01	00	0
11	00	00	11	01	01	0
11	00	00	11	01	11	0
11	00	00	11	11	00	0
11	00	00	11	11	01	0
11	00	00	11	11	11	0
11	00	01	00	00	00	0
11	00	01	00	00	01	129
11	00	01	00	00	11	0
11	00	01	00	01	00	0
11	00	01	00	01	01	0
11	00	01	00	01	11	0
11	00	01	00	11	00	0
11	00	01	00	11	01	0
11	00	01	00	11	11	0
11	00	01	01	00	00	0
11	00	01	01	00	01	156
11	00	01	01	00	11	0
11	00	01	01	01	00	0
11	00	01	01	01	01	0
11	00	01	01	01	11	0
11	00	01	01	11	00	0
11	00	01	01	11	01	0
11	00	01	01	11	11	0
11	00	01	11	00	00	11
11	00	01	11	00	01	199892
11	00	01	11	00	11	64
11	00	01	11	01	00	0
11	00	01	11	01	01	78
11	00	01	11	01	11	0
11	00	01	11	11	00	0
11	00	01	11	11	01	193
11	00	01	11	11	11	0
11	00	11	00	00	00	0
11	00	11	00	00	01	0
11	00	11	00	00	11	0
11	00	11	00	01	00	0
11	00	11	00	01	01	0
11	00	11	00	01	11	0
11	00	11	00	11	00	0
11	00	11	00	11	01	0
11	00	11	00	11	11	1
11	00	11	01	00	00	0
11	00	11	01	00	01	0
11	00	11	01	00	11	0
11	00	11	01	01	00	0
11	00	11	01	01	01	0
11	00	11	01	01	11	0
11	00	11	01	11	00	0
11	00	11	01	11	01	0
11	00	11	01	11	11	0
11	00	11	11	00	00	97
11	00	11	11	00	01	47
11	00	11	11	00	11	33
11	00	11	11	01	00	0
11	00	11	11	01	01	0
11	00	11	11	01	11	15
11	00	11	11	11	00	0
11	00	11	11	11	01	0
11	00	11	11	11	11	60
11	01	00	00	00	00	0
11	01	00	00	00	01	0
11	01	00	00	00	11	0
11	01	00	00	01	00	74
11	01	00	00	01	01	0
11	01	00	00	01	11	0
11	01	00	00	11	00	1
11	01	00	00	11	01	0
11	01	00	00	11	11	0
11	01	00	01	00	00	0
11	01	00	01	00	01	0
11	01	00	01	00	11	0
11	01	00	01	01	00	40
11	01	00	01	01	01	0
11	01	00	01	01	11	0
11	01	00	01	11	00	0
11	01	00	01	11	01	0
11	01	00	01	11	11	0
11	01	00	11	00	00	0
11	01	00	11	00	01	0
11	01	00	11	00	11	0
11	01	00	11	01	00	86
11	01	00	11	01	01	12
11	01	00	11	01	11	63
11	01	00	11	11	00	0
11	01	00	11	11	01	0
11	01	00	11	11	11	0
11	01	01	00	00	00	0
11	01	01	00	00	01	0
11	01	01	00	00	11	0
11	01	01	00	01	00	0
11	01	01	00	01	01	25
11	01	01	00	01	11	1
11	01	01	00	11	00	0
11	01	01	00	11	01	0
11	01	01	00	11	11	0
11	01	01	01	00	00	0
11	01	01	01	00	01	0
11	01	01	01	00	11	0
11	01	01	01	01	00	0
11	01	01	01	01	01	41
11	01	01	01	01	11	0
11	01	01	01	11	00	0
11	01	01	01	11	01	1
11	01	01	01	11	11	0
11	01	01	11	00	00	0
11	01	01	11	00	01	76
11	01	01	11	00	11	0
11	01	01	11	01	00	24
11	01	01	11	01	01	49624
11	01	01	11	01	11	21
11	01	01	11	11	00	0
11	01	01	11	11	01	101
11	01	01	11	11	11	1
11	01	11	00	00	00	0
11	01	11	00	00	01	0
11	01	11	00	00	11	0
11	01	11	00	01	00	0
11	01	11	00	01	01	1
11	01	11	00	01	11	172
11	01	11	00	11	00	0
11	01	11	00	11	01	0
11	01	11	00	11	11	0
11	01	11	01	00	00	0
11	01	11	01	00	01	0
11	01	11	01	00	11	0
11	01	11	01	01	00	0
11	01	11	01	01	01	1
11	01	11	01	01	11	155
11	01	11	01	11	00	0
11	01	11	01	11	01	0
11	01	11	01	11	11	1
11	01	11	11	00	00	0
11	01	11	11	00	01	0
11	01	11	11	00	11	3
11	01	11	11	01	00	79
11	01	11	11	01	01	71
11	01	11	11	01	11	85287
11	01	11	11	11	00	0
11	01	11	11	11	01	0
11	01	11	11	11	11	38
11	11	00	00	00	00	0
11	11	00	00	00	01	0
11	11	00	00	00	11	0
11	11	00	00	01	00	0
11	11	00	00	01	01	0
11	11	00	00	01	11	0
11	11	00	00	11	00	0
11	11	00	00	11	01	0
11	11	00	00	11	11	0
11	11	00	01	00	00	0
11	11	00	01	00	01	0
11	11	00	01	00	11	0
11	11	00	01	01	00	0
11	11	00	01	01	01	0
11	11	00	01	01	11	0
11	11	00	01	11	00	0
11	11	00	01	11	01	0
11	11	00	01	11	11	0
11	11	00	11	00	00	0
11	11	00	11	00	01	0
11	11	00	11	00	11	0
11	11	00	11	01	00	0
11	11	00	11	01	01	0
11	11	00	11	01	11	0
11	11	00	11	11	00	2
11	11	00	11	11	01	2
11	11	00	11	11	11	0
11	11	01	00	00	00	0
11	11	01	00	00	01	0
11	11	01	00	00	11	0
11	11	01	00	01	00	0
11	11	01	00	01	01	0
11	11	01	00	01	11	0
11	11	01	00	11	00	0
11	11	01	00	11	01	2
11	11	01	00	11	11	0
11	11	01	01	00	00	0
11	11	01	01	00	01	0
11	11	01	01	00	11	0
11	11	01	01	01	00	0
11	11	01	01	01	01	0
11	11	01	01	01	11	0
11	11	01	01	11	00	0
11	11	01	01	11	01	2
11	11	01	01	11	11	0
11	11	01	11	00	00	0
11	11	01	11	00	01	34
11	11	01	11	00	11	0
11	11	01	11	01	00	0
11	11	01	11	01	01	53
11	11	01	11	01	11	0
11	11	01	11	11	00	0
11	11	01	11	11	01	75
11	11	01	11	11	11	7
11	11	11	00	00	00	0
11	11	11	00	00	01	0
11	11	11	00	00	11	1
11	11	11	00	01	00	0
11	11	11	00	01	01	0
11	11	11	00	01	11	0
11	11	11	00	11	00	0
11	11	11	00	11	01	0
11	11	11	00	11	11	17
11	11	11	01	00	00	0
11	11	11	01	00	01	0
11	11	11	01	00	11	0
11	11	11	01	01	00	0
11	11	11	01	01	01	0
11	11	11	01	01	11	0
11	11	11	01	11	00	0
11	11	11	01	11	01	0
11	11	11	01	11	11	10
11	11	11	11	00	00	0
11	11	11	11	00	01	0
11	11	11	11	00	11	44
11	11	11	11	01	00	0
11	11	11	11	01	01	0
11	11	11	11	01	11	34
11	11	11	11	11	00	0
11	11	11	11	11	01	3
11	11	11	11	11	11	6109
